author,handle,date,text,likes
Rencrypta.eth,@Rencrypta,2025-03-24T18:29:45.000Z,"The higher we climb, the more painful the fall     $BTC $ETH $SOL #Crypto #Trump",318
mrpatrickschmitt,@mr_pschmitt,2025-03-24T05:41:43.000Z,"Wild thought but could become reality, $S could go to $10 while BTC stays around 100K!  $SOL went from $8 back to almost $200 without PumFun!  Meanwhile  @SonicLabs  has created the best, fastest and cheapest L1 out there.   Invest on Facts, not Hype!",479
PiWhales,@PiWhales,2025-03-24T12:11:12.000Z,"1  $UN  COIN  =  $1  to  $10        HOW  TO  MINE  $UN  FOR FREE         UNICH  (  $UN  )      THE  BIGGEST  OTC  TRADING  PLATFORM  UNDER  SOLANA   |   SET  TO  LAUNCH  TGE  ON  Q1  2025!     1.)   SIGN  UP  HERE,  CLICK :       https://unich.com/en/airdrop/sign-up?ref=P9KFJB…",62
Deep Agent,@DeepAgentSol,2025-03-24T03:44:36.000Z,Attention  We Need Your Support Because behind every successful project there is a strong community   Let's Tweet About $DEEPGT   Follow  @DeepAgentSol    Like & Repost   DROP your $SOL address TO WIN 100000 #DEEPGT,359
Peroni,@peronif5,2025-03-24T02:03:25.000Z,I built a decentralized prediction market for DePINs on  @solana  in just 24 hours.  It’s called Odyssey powered by real  @helium   data and using $HNT as currency for test markets.  Here’s how I built it from scratch with the help of AI and some caffeine   https://odyssey.dewicats.xyz,276
_SupermanKrypto,@_SupermanKrypto,2025-03-24T05:06:27.000Z,Airdrop opportunity.  1.  Repost the PINNED post 2. Comment and drop your Solana wallet on THIS post 3. Have 100+ followers on X 4. Stand for Justice and Truth,647
Adeniyi.sui,@EmanAbio,2025-03-24T15:25:03.000Z,"One Sui account is all you need to control the rest of your Web3 wallets, be it a Solana account or an Ethereum account.  Listen to Mysten Labs’ Co-founder and Chief Cryptographer, Kostas “Kryptos” Chalkias, explain how it works.  cc  @ikadotxyz",670
makecryptogreatagain,@makecrypto4304,2025-03-24T20:43:20.000Z,"INAUG Airdrop Update   To receive $INAUG tokens, make sure to add the token manually in your Solana wallet (Phantom/Solflare etc.): This will speed up the distribution.  Open your wallet  Click ""Manage Tokens"" / ""Add Custom Token"" Paste this Mint Address:",114
THOREUM MEME COIN,@ThoreumC,2025-03-24T16:52:10.000Z,"CLAIM 350,000 $TMC  STEP 1 :  &  + Follow   STEP 2 : Drop your $SOL wallet  First 1500 wallets gets guaranteed airdrop   #SolanaAirdrop",271
Web,@web3smb,2025-03-24T12:14:47.000Z,GM  FREE MINT WL ARE ACTIVE ARE YOU?  $SOL,428
opinions.fun,@opinionsdotfun,2025-03-24T18:31:21.000Z,"MAJOR UPDATE:  Introducing Prestige Scores  Our biggest update yet, a dynamic model to evaluate your opinions  Partnered with  @usetapestry , we're adding a social layer to the Solana ecosystem, merging SocialFi and InfoFinance  Keep reading",96
Drop3,@Drop3io,2025-03-24T13:32:45.000Z,@Drop3io  X  @MagicEden    We are pleased to announce our strategic partnership with Magic Eden to launch our #Solana Collection!   Minting Details  Mint date: March 26 at 4 PM UTC  Supply: 3333  Mint Price: 0.25 SOL  Type: Public Mint  Pre-sale buyers' spots will,4974
Zig | OrdinalVerse,@OrdinalVerse,2025-03-24T04:50:01.000Z,Gm  first 404  #Solana   Mint is live  http://launchmynft.io/sol/15122  NFT staking & details  https://instabio.cc/Ordinalverse,317
MagicBlock,@magicblock,2025-03-24T13:59:12.000Z,"The future is real-time, and it's built on  @solana    Announcing MagicBlock's Real-Time Hackathon – where Solana devs build 0-1 products, gain visibility and level up their entry to  @colosseum !  Start here: http://realtime.magicblock.app  Learn more",196
Fourtis Listing Alert,@fourtislisting,2025-03-24T21:53:45.000Z,"Fourtis Express Listing - PVS  PVS ( #PVS )  https://fourtis.io/token-details/coin/solana/FWAr6oWa6CHg6WUcXu8CqkmsdbhtEqL8t31QTonppump…  CA: FWAr6oWa6CHg6WUcXu8CqkmsdbhtEqL8t31QTonppump  PRICE: $0.01024 | MC: $10,248,943  #Newlisting #Altcoin #Memecoin #FourtisNewlisting",55
LadyTraderRa,@LadyTraderRa,2025-03-24T15:02:32.000Z,"Hey fam!!!   Mansory (famous for tuning Rolls Royces, Lambos, and Ferraris) just launched a token $MNSRY  This gem is sitting at ~19m! buying some here!   DexScreener: https://dexscreener.com/solana/3zqphrpt5qsm1s4v2ha8nybgsssrjlzuehzeyzjw2af9…  Twitter: @mansoryofficia CMC: https://coinmarketcap.com/currencies/mansory/…",389
Colosseum,@colosseum,2025-03-24T14:57:43.000Z,"1/ The  @Solana  Breakout Hackathon will commence on April 14, and project submissions will be due by May 16.  More details coming soon.  In the meantime, sign up for a Colosseum builder account, browse the directory to find potential cofounders & post product ideas in the forum.",461
Devmustee,@Dev_Mustee,2025-03-24T23:54:43.000Z,"New Cryptocurrencies in  @wallet_tg  – Trade with 0% Fees Until March Ends!  Exciting news! The Trade section now supports dozens of popular cryptocurrencies, including Ethereum, Solana, and Dogecoin. Easily track prices, exchange tokens, and build your ideal portfolio—all",64
Solflare - The Solana Wallet,@solflare_wallet,2025-03-24T18:50:24.000Z,"You held strong, now the reveal begins!  Introducing THE APEX MONARCH, one of 6 hidden collections in your Shadow of the Sun NFT   In collaboration with  @cetsfk , we unveil the ruler of the Solflare Cets, crowned in fire and rebellion.  Can you guess our next reveal?",1422
STASH,@StashInu,2025-03-24T12:07:55.000Z,Solflare makes self-custody easy — and gives you full control of your future on Solana.  And with that freedom comes responsibility.   Here are 14 crucial security tips to protect your assets:,209
$TOP G,@TATES0L,2025-03-24T16:38:41.000Z,"$TATESOL Airdrop Alert!   Join Andrew Tate's latest Solana project! We're giving away 500,000 $TATESOL to the first 1,000 addresses!   How to Enter:  Follow us  Like & Retweet this post  Drop your #SOL wallet",91
