author,handle,date,text
MR NFT,@MRNFT_X,2025-03-22T18:57:11.000Z,0.25 $SOL GIVEAWAY  1. Drop your $SOL wallet  2. Like + repost   Ends in 90 minutes
CRYPTO THRO,@CryptoThro,2025-03-22T10:31:34.000Z,"#PetsLuvFun $FPETS  On #Moonshot   $FPETS is a meme project designed specifically for #pet lovers with a goal to unite all pet owners and enthusiasts under one meme, promoting a sense of community and fun.   Buy   https://dexscreener.com/solana/5ms1LjA2E9Fo4Guu9CoA8b294nac5g3D2fxSw7Kqmoon…  CA"
Fourtis Listing Alert,@fourtislisting,2025-03-22T06:24:22.000Z,"Fourtis Express Listing - Giza @RealAlexJones Pyramids ( #Giza )  https://fourtis.io/token-details/coin/solana/FmFnRZWRLnZMcRDQGDCoHSdgLUFMZ7bAtD2qk75Vpump…  CA: FmFnRZWRLnZMcRDQGDCoHSdgLUFMZ7bAtD2qk75Vpump  PRICE: $0.0008887 | MC: $888,744"
LEO | NO PRESALE,@leo_tokens,2025-03-22T14:16:21.000Z,"$LEO  AIRDROP OPEN   Drop your Solana $SOL address below, Follow, Like & RT   First 100 wallet gets 500k $LEO  Check your wallet 5 HRS   Follow  @leo_tokens"
Cas Abbé,@cas_abbe,2025-03-22T06:22:35.000Z,If you missed buying    $BTC in 2011  $XRP in 2013  $ETH in 2015  $BNB in 2017
Crypto Miners,@CryptoMiners_Co,2025-03-22T10:03:47.000Z,"MEXC Partners with http://pump.fun to Supercharge DEX+ with PumpSwap Integration!   @MEXC_Official  has officially teamed up with  @pumpdotfun , the leading Solana memecoin launchpad, to enhance the DEX+ experience and bridge the gap between #CeFi and #DeFi.   The first"
Unich.com,@unich_com,2025-03-22T09:15:17.000Z,"$MINT OVERVIEW!  Unich Pre-Market OTC now supports $MINT – the token of a cutting-edge digital asset trading platform!  Project website: https://mintify.xyz  Blockchain: Solana  Supported pairs: MINT/USDC, MINT/SOL  Take a look at the one-page overview and start"
MAX CAPACITY,@maxcapacity,2025-03-22T05:49:19.000Z,HERE'S SOME TIPS FOR $BADBOY MEMBERS TO NOT GET CAUGHT IN COMPROMISING SITUATIONS:  REAL WEBSITE IS HERE: https://badboybikiniclub.maxcapa.city  REAL TOKEN IS HERE: 8g1izh9jse7vshsww2g9nqztepmefpp1tsxwbn5epump https://dexscreener.com/solana/8g1izh9jse7vshsww2g9nqztepmefpp1tsxwbn5epump…
Bez,@SelfMadeBez,2025-03-22T06:47:30.000Z,"I just turned 16 two days ago.  In January, I made 6 figures trading Solana meme coins.  And I’m going to hit $1,000,000 net worth before I turn 18.  Here’s how I’ll do it — step by step"
Solflare - The Solana Wallet,@solflare_wallet,2025-03-22T22:22:23.000Z,"You’ve minted. You HOLD STRONG! The mystery lingers, but not for long!  We’ve partnered with Solana OGs to bring you the NFT mint of the “Shadow of The Sun” collection.  Can you recognize the first OG we partnered with in the teaser image?   Wen reveal and raffle winners?"
