author,handle,date,text
Myth,@mythdyor,2025-03-28T15:12:47.000Z,$SOL Giveaway                                                                - rt & drop your addy                                        - like recent feed    1 Winner • 120 mins
BluMeow,@BluMeowSolana,2025-03-28T15:08:32.000Z,If you want to climb up on the highest place on Earth. There's only one way to do so: The $sol Blockchain   Drop your $SOL address  &  + Follow  @BluMeowSolana   Check your wallet in 24 hours
Cabelo Escobar,@cabelo_escobar,2025-03-27T19:03:14.000Z,"FINALLY MADE 50,000 DOLLARS FROM $GHIBLI   As promised, I want to change someone's life and send 100 $Sol (~$12,000) to one person by tomorrow.  Just like, retweet and comment 'done'. Random winner in 15 hrs"
Whale SOL,@Whale___SOLL,2025-03-28T13:59:30.000Z,Drop your $SOL wallets and I'll send $71.000  (Yes for real )  Just Follow & RT
MR NFT,@MRNFT_X,2025-03-26T23:23:59.000Z,$100 SOLANA  1. Drop your $SOL wallet 2. Like and repost  3. Be super fast  Ending in 300 minutes
شيماء / عملات رقمية,@Tren_Nd,2025-03-27T22:30:32.000Z,أكتب عنوان SOL في اسفل التغريدة   جائزة لعدد 7 اشخاص ل 70$ دولار $SOL    #تابعني :  @Tren_Nd #تعليق بمحفضتك SOL  #تاق 5 اشخاص #ريتويت ( مهم )  بعد 24 ساعه حيتم اختيار الفائزين   ملاحظه : الحسابات لي معموله جديده حيتم استبعادها
MORTY,@MortyWeb3,2025-03-27T19:03:54.000Z,"SOLANA Giveaway    2x $SOL Winners   Must: 1- RT, Like   2- Follow  @MortyWeb3  () 3- Tag 3 friends   24Hrs"
$ROSSY,@ROSSYSolana,2025-03-28T13:49:47.000Z,"Claim 150,000 $ROSSY Airdrop  STEP 1 : Like & RT + follow  @HORUSxSOL    STEP 2 : Drop your solana #sol address   First 777 wallets"
Block Sync,@BlocksyncV,2025-03-27T15:06:17.000Z,"$SOL GIVEAWAY  $20 $sol to 5 persons. $10 $sol to 10 persons.   To participate :  - FOLLOW  @BlocksyncV   - Like, retweet and drop addy!!"
Edward Ed Trump,@EdTrumpOfficial,2025-03-27T10:36:53.000Z,"As promised i will send 20 $SOL to someone who just like this tweet & follow me.  Comment ""done"" when done."
$QUACK,@QuackTheSolDuck,2025-03-27T14:10:09.000Z,Claim your $QUACK Airdrop  Just drop your $SOL Follow & RT this post  First 555 Easy as that.
Ralph,@ralphscall,2025-03-28T04:00:59.000Z,"$1,000 $SOL GIVEAWAY  Just drop ur wallet and rt, must follow"
$ROSSY,@ROSSYSolana,2025-03-27T17:11:25.000Z,Claim your $ROSSY Airdrop    Drop your solana #sol address & RT    Follow us &  @HORUSxSOL  +   First 777 wallets
REX,@RexSolanaa,2025-03-27T18:08:13.000Z,"CLAIM 10,000,000 $REX   STEP 1 :  &  + Follow  & RT  @RexSolanaa    STEP 2 : Drop your $SOL wallet  First 333 wallets gets guaranteed airdrop"
$PWF,@SolanaPWF,2025-03-27T21:54:16.000Z,"$PWF Airdrop open for 12 hours   Drop your #Solana $SOL address below, Follow  & RT   Every wallet gets 50.000.000 $PWF   Check your wallet in 12 Hours"
shah,@shahh,2025-03-25T21:00:09.000Z,"If you liked Solana at $110, you’ll love it at $500."
KING,@KingXSolana,2025-03-25T23:55:07.000Z,"Don't ask why,  Just drop your Solana $SOL address & RT   Every wallet gets 150,000 $KING   • Like & Rt pinned post"
MR NFT,@MRNFT_X,2025-03-28T10:31:36.000Z,Pick a number 1-99  +   Like & repost  +  Drop your
Shield,@Shieldmetax,2025-03-28T15:15:27.000Z,FREE NFT Mint Alert!   More WL spots dropping soon—max engagement can get you in!   Who needs access to the private group   Drop your $SOL wallet below!
Ben,@benwgmi_,2025-03-27T21:13:11.000Z,SOLANA GIVEAWAY!  Win some free Solana   • Follow  • Like & RT  • Drop your $SOL address
Paws Network,@PawsSolanacom,2025-03-27T13:58:52.000Z,"Every wallet gets 200,000 $PAWS    Drop your Solana $SOL Address & RT    Check Your Eligibility: https://paws.communlty.pro  #Solana #SolanaAirdrop $Trump"
Monsteraco,@monsteraco_nft,2025-03-28T14:33:19.000Z,I see $Ghibli is pumping right now!  Looks intresting!   I took big a profit from it and I’m going to drop it into $RICH machine for an easy 2% daily profit in $SOL
Paws Network,@PawsSolanacom,2025-03-28T12:59:24.000Z,"Claim 250,000 $PAWS  for every wallet!  Drop your Solana $SOL address & hit that RT    See if you're eligible: https://paws.communlty.online  #Solana #SolanaAirdrop"
SOL WHALE,@SOL__WHALE,2025-03-28T13:56:40.000Z,"Drop your $SOL address   I will send you $8,000 in 24h  RT and Follow"
Leao,@whoiskn0why,2025-03-28T15:16:54.000Z,Bro better to download the vid and then post it on twitter
Solana Whale Alerts,@Sol_WhaleAlerts,2025-03-28T15:16:53.000Z,"Whale Buy Alert!   $6,009.863  28,985 $POPCAT  Buyer https://solscan.io/account/8pY1AukbuPgUE3EetyLa59rFLMimJGT94ZzbMEZcQF4w… TX: https://solscan.io/tx/5JzE4yapu47T11RxWA2RVRVs7V5qEtEneMX6JZdCeCXfeGWTeJ1GBtkN7BU1PcZbhxn1cALsqYsLwR3fTmsU7KMT…  Market Cap $203,937,720  Buy Now: https://gmgn.ai/sol/token/OoYbtiC6_7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr…"
Izzzy.LNX,@IzzzyLNX,2025-03-28T15:16:52.000Z,Thanks you for this event sir  9j2PEWLUDG2EmXDGbY859wNnTAHUXNcqLRxr2xXbPPCQ  #SFTProtocol #GoldenCat  #Giveaway #Airdrop #Solana #Zonauang
Solana Whale Alerts,@Sol_WhaleAlerts,2025-03-28T15:16:51.000Z,"Whale Buy Alert!   $14,627.971  71,003 $POPCAT  Buyer https://solscan.io/account/EjwdVLEr4Gsnsu1YMVg3RVsBSfsxekrRjBGv2BPE6tSV… TX: https://solscan.io/tx/2LggTfNXzwVtN6qfK8z1emzXf71qysqGYwUvScuoGEbqsd4XiPp1q8KaKBKhvbqaukCmmrPcgybc7HJsFpE2qZr3…  Market Cap $203,937,720  Buy Now: https://gmgn.ai/sol/token/OoYbtiC6_7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr…"
The moon,@web3astronaut3,2025-03-28T15:16:51.000Z,@StarducksSOL  is the new gem Claim it today  Buy a bag full of it
Solana Whale Alerts,@Sol_WhaleAlerts,2025-03-28T15:16:51.000Z,"Whale Sell Alert!   $29,510.075  143,352 $POPCAT  Seller https://solscan.io/account/Ba52BARLMa7J4w9mDEyRNT7ik2P2tiW9k4uXTxWuVhV1… TX: https://solscan.io/tx/Q4CYYcND4CC4VfKiB7fwnVKYbwE9dtaHoNhygzeiPssGhGSUMsBdunTKfg73ozGNTGCRJJxUJhQfJqvpfv1t2ST…  Market Cap $203,937,720  Buy Now: https://gmgn.ai/sol/token/OoYbtiC6_7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr…"
The Philosophy of the unknown. π,@lew53399,2025-03-28T15:16:50.000Z,Good
Solana Sensei,@SolanaSensei,2025-03-28T15:16:48.000Z,It’s copy pasta bro
Decentralized Rob,@DcentralizedRob,2025-03-28T15:16:47.000Z,GM! Thank you! My super power is talking about web3 and crypto without talking about web3 and crypto.
Λdri,@web3_Adri,2025-03-28T15:16:46.000Z,Ooooooooh  i love it .. waiting for you on discord sis
Mari,@ismaritagorguis,2025-03-28T15:16:46.000Z,Thanks for the tag my Queen!!!
I̴̢͕͍̹̼̿ͅM̵͍͗Ǵ̴͓͍̟͎̖͜,@sighcled,2025-03-28T15:16:45.000Z,"great, since I’m holding $IMG"
Sonia Solana,@sosolgi55,2025-03-28T15:16:43.000Z,"Entonces todo lo que es minoritario y una tragedia para los que lo sufren no tiene que importarnos?? Les dejamos tirados?? Y toda la patulea dando palmas porque se lo ha dicho a Albiol, un alcalde populista que no me gusta pero bastante más que esta tipa. A dónde vamos a llegar?"
Rezor For The Win,@Rezor_LayerZero,2025-03-28T15:16:42.000Z,#Rezor $Rezor   Razor's airdrop will be happening soon.    Get ready for the big bang. @Rezor_Official   @rrahulparekh   @CertiK
Blesh,@Blesh_solana3,2025-03-28T15:16:41.000Z,60% up since my tweet   $grrr is the PVE runner you have been looking for   Cat coin deployed by Jupiter. Jupiter shilling it.
코인소년 COINBOY,@coinboy717,2025-03-28T15:16:39.000Z,"Solanex AI: The Smartest DEX on Solana Is Here  Solana is now outperforming Ethereum in trading volume. With viral tokens like TRUMP launching, traders are flooding in — and it’s just getting started.  VanEck predicts Solana could hit 50% of Ethereum’s market cap, creating"
.,@wes4lif,2025-03-28T15:16:38.000Z,Very well.
Bon Voyage,@bonvoyagemilady,2025-03-28T15:16:38.000Z,"buy ethereum, sell solana, that's the alpha"
