author,handle,date,text
MR NFT,@MRNFT_X,2025-03-26T23:23:59.000Z,$100 SOLANA  1. Drop your $SOL wallet 2. Like and repost  3. Be super fast  Ending in 300 minutes
MR NFT,@MRNFT_X,2025-03-26T21:00:06.000Z,SOLANA LIST  1. Drop your $SOL wallet  2. Like + repost   First 123
Professor,@ProfessorONsol,2025-03-26T15:33:33.000Z,"Celebration $Professor Launching soon  1,000,000 $PROF Giveaway for 800 winner    Follow  @ProfessorONsol  RT & Like pinned post   Comments $SOL address  Giveaway distribution april 1st   $Prof #SolanaAirdrop check pinned post"
$TRUMP,@TrumpxSolCoin,2025-03-26T13:21:11.000Z,"We are launching soon.  $TRUMP is a decentralized meme coin built on #Solana   First 1.000 Address = 20,000,000 $TRUMP  Follow, like, RT (Drop your $SOL wallet)  Snapshot in 12 hours get ready    #SolanaAirdrop"
Eve,@Evecoins,2025-03-26T17:47:51.000Z,Making a list first 777  Drop your $SOL
Solflare - The Solana Wallet,@solflare_wallet,2025-03-26T21:12:17.000Z,Are you ready for more rewards?    Complete simple  @drip_haus  quests.  Mint exclusive cNFTs by  @Trippsoul_NFT  to make your X profile stand out.  Enter a raffle for a chance to win a share of the 50 $SOL prize pool!  Ready to join? Learn how to get started
ALTSTEIN TRADE,@Altsteinn,2025-03-26T14:04:14.000Z,"Another cheap utility coin on $SOL just like we caught 12X on $EraLabs, this should cook.  Tek is $HPR |  @hyper_seed  - a decentralized, encrypted Dropbox that combines blockchain, AI to provide secure, scalable, and efficient cloud storage.  Still early with good chart because"
Paws Community,@PawsFounder,2025-03-26T13:17:52.000Z,"Community- In case you forget $PAWS strength, please see this image    #PAWS is ready to change the #Airdrop scenario  Delay won’t be too long, you all will be rewarded   You guys are the most wonderful people $PAWS will never let the true community down   #SOL #PAWS"
CryptoPilotu,@CryptoPilotu,2025-03-26T01:40:26.000Z,With Trump Becoming President   2025 Crypto  Trump'ın Başkan Olması ile   2025 Kripto  #Trump #BTC #ETH #Sol #Crypto #Altcoin #Abd #ElonMusk #Kripto
Solion,@SolionCoin1,2025-03-26T21:14:12.000Z,SOLION AIRDROP LIST   1. Drop your $SOL wallet  2. Like + repost   First 200
Fourtis Listing Alert,@fourtislisting,2025-03-26T21:17:31.000Z,"Fourtis Express Listing - IMHPC @imhpc_ai IMHPC ( #IMHPC )  https://fourtis.io/token-details/coin/solana/EQf2LYaw4zV3hb2UK5kCUSgFrLRJqUAaeVA9rMypump…  CA: EQf2LYaw4zV3hb2UK5kCUSgFrLRJqUAaeVA9rMypump  PRICE: $0.001682 | MC: $1,682,240"
MiuCoin,@miucoinsol,2025-03-26T12:41:36.000Z,"1 $sol can change your life forever, join presale now & ready to 1,000x   Get free tokens $MIU   Drop your $sol address  like  & rt  Follow:  @miucoinsol Check your wallet in 24 hours"
KING,@KingXSolana,2025-03-26T18:15:23.000Z,"Drop $sol adress      Only for followers, be fast, 6 hours   Like & RT pinned post"
Ether Wizz,@EtherWizz_,2025-03-26T17:58:16.000Z,"$SOL is fully ready for its next B I G move.  Once the $180 zone is broken, its next leg up will take us towards $270.  Many people are still not ready for this move."
$WHALE,@WHALExSolana,2025-03-26T18:47:13.000Z,"Every wallet gets 150,000 $WHALE   Drop your Solana $Sol Address & RT    Follow us &  @HORUSxSOL  +    First 888  #SolanaAirdrop"
