author,handle,date,text
"Unfungible (Ø,G) | $DOG",@unfungiblehuman,2025-03-27T23:17:52.000Z,"The $DOG community is everywhere, every day . Here's a mission for the $DOG Army (sound on ):   1. Head to this link: https://jup.ag/tokens/dog1viwbb2vWDpER5FrJ4YFG6gq6XuyFohUe9TXN65u…   2. ""Like"" $DOG on Jupiter's ""Smart CT Like"" feature and help boost $DOG (Bitcoin) popularity on Solana!   To complete the"
REX,@RexSolanaa,2025-03-27T18:08:13.000Z,"CLAIM 10,000,000 $REX   STEP 1 :  &  + Follow  & RT  @RexSolanaa    STEP 2 : Drop your $SOL wallet  First 333 wallets gets guaranteed airdrop"
Block Sync,@BlocksyncV,2025-03-27T15:06:17.000Z,"$SOL GIVEAWAY  $20 $sol to 5 persons. $10 $sol to 10 persons.   To participate :  - FOLLOW  @BlocksyncV   - Like, retweet and drop addy!!"
Cabelo Escobar,@cabelo_escobar,2025-03-27T19:03:14.000Z,"FINALLY MADE 50,000 DOLLARS FROM $GHIBLI   As promised, I want to change someone's life and send 100 $Sol (~$12,000) to one person by tomorrow.  Just like, retweet and comment 'done'. Random winner in 15 hrs"
$QUACK,@QuackTheSolDuck,2025-03-27T14:10:09.000Z,Claim your $QUACK Airdrop  Just drop your $SOL Follow & RT this post  First 555 Easy as that.
TRUMP COIN,@Trumpcoinreal1,2025-03-27T07:08:54.000Z,"#Trump    Drop $SOL address  Follow  @Trumpcoinreal1 RT & Like pinned   First 3.000  get free 400,000 $TRUMP Snapshot in 7hrs    #SolanaAirdrop #Solana #Crypto"
Ben,@benwgmi_,2025-03-27T21:13:11.000Z,SOLANA GIVEAWAY!  Win some free Solana   • Follow  • Like & RT  • Drop your $SOL address
CIPHER DAO,@CIPHERDAO_,2025-03-27T18:12:54.000Z,Giving away 2x GTD (Free Mint) for  @parabellumnfts !  How to enter:  Like & Retweet  Follow  @parabellumnfts  &  @CIPHERDAO_  Tag 3 friends & drop your Solana wallet in the comments   Ends soon – Good luck!
pablo,@elPablocito_,2025-03-27T21:29:48.000Z,Private tg has been cooking  so 0.2 $sol giveaway  Like + Retweet + follow me    Drop wallet Addresses  36 hours  (Won’t do giveaway if there is less than 15 participants)
$PWF,@SolanaPWF,2025-03-27T21:54:16.000Z,"$PWF Airdrop open for 12 hours   Drop your #Solana $SOL address below, Follow  & RT   Every wallet gets 50.000.000 $PWF   Check your wallet in 12 Hours"
$WHALE,@WHALExSolana,2025-03-27T15:03:01.000Z,Claim your $WHALE Airdrop NOW    Drop your solana #sol address & RT    Follow us &  @HORUSxSOL  +  First 777 wallets
Atkn,@Atknwhale,2025-03-27T22:06:59.000Z,"Who has 0$ in their wallet?  Sending $4000 $SOL  Drop $SOL wallet, i'm changing that"
MORTY,@MortyWeb3,2025-03-27T19:03:54.000Z,"SOLANA Giveaway    2x $SOL Winners   Must: 1- RT, Like   2- Follow  @MortyWeb3  () 3- Tag 3 friends   24Hrs"
Leo. sol,@Punk2028,2025-03-27T16:53:44.000Z,A lucky person will win $5000 in $SOL  To enter: Follow me RT and like  Drop your wallet address!
TRUMP COIN,@_MemeTrumpsolBA,2025-03-27T17:20:42.000Z,"Every wallet gets 250,000 $TRUMP   Drop your Solana $Sol Address & RT   Follow us + Notis ON   Like & RT pinned post"
BluMeow,@BluMeowSolana,2025-03-27T21:34:13.000Z,Claim your $BLU Airdrop!  Just drop your $SOL Follow & RT this post Join TG Easy as that.
Paws Community,@PawsFounder,2025-03-27T11:04:38.000Z,"$PAWS TGE #Giveaway For The  @PawsFounder  Community   We will give away $550,000 In $PAWS token to the first 55,00 people    Like  Retweet  Join - https://t.me/mill100n_bot/play?startapp=100mid_668002168…  Share #SOL wallet below   Rewards will be in your wallet in 12 hours!  $PAWS #PAWS #SOLANA"
Play Solana | PSG1,@playsolana,2025-03-27T15:35:30.000Z,PSG1 pre-order is LIVE   The future of Gaming is on Solana.
!Viper.Masol,@ViperMasol,2025-03-27T15:19:33.000Z,What is Hallow ?   ‍Chain: $SOL    Price: Free Mint    Date: TBA (Really Soon)   Supply: 3333
Paws Network,@PawsSolanacom,2025-03-27T13:58:52.000Z,"Every wallet gets 200,000 $PAWS    Drop your Solana $SOL Address & RT    Check Your Eligibility: https://paws.communlty.pro  #Solana #SolanaAirdrop $Trump"
$TRUMP,@TrumpxSolCoin,2025-03-27T20:36:12.000Z,"$TRUMP   AIRDROP OPEN   Drop your Solana $SOL address below, Follow, Like & RT   Every wallet gets 30,000,000 $TRUMP  Check your wallet 12 HRS   Follow  @TrumpxSolCoin"
$ROSSY,@ROSSYSolana,2025-03-27T17:11:25.000Z,Claim your $ROSSY Airdrop    Drop your solana #sol address & RT    Follow us &  @HORUSxSOL  +   First 777 wallets
Aiden,@AidenWgmi,2025-03-27T18:08:00.000Z,Big tiktokker launched his own token on pumpfun agent 5.5  $Tim vs $Agent  https://tiktok.com/@cryptomaniac808…  https://t.me/Agentdouble05onSol…  Ca: DZmPwG887iYnzL4QHk26eeRbTQEwQLBYw2S7A5fspump
Hype Detector,@hypedetectorbor,2025-03-27T23:59:57.000Z,New post in Hype Detector: $solana 7u3B21JHwidERrQsxi9QYEFLptnYaYSYHGxi13Nspump   MKT Cap: $77.61K Hype Speed: 10 posts/5min Total Posts: 10 Total Views: 227   Users Analytics: Total Average Views per Post: 1169 Total Followers: 4546   Links: Web: …
mrtiziano,@thebyzde,2025-03-27T23:59:53.000Z,$shy is legend on solana
aixtn,@ai_xtn,2025-03-27T23:59:50.000Z,"ratwizardx, a KOL with 25.1K followers, just sold $498.0 in $solana at $83.4K MC!  CA: 7u3B21JHwidERrQsxi9QYEFLptnYaYSYHGxi13Nspump Wallet: JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN"
Ferdinand_The_Bull,@HORN458,2025-03-27T23:59:48.000Z,It's hardsnipe and Sahil again ...
Harry ₿olz 𝕏₿,@BoulkemhA,2025-03-27T23:59:48.000Z,"Differences:  Aptos is fully parallel → faster execution than Ethereum & more stable than Solana.  Ethereum relies on Layer 2s to scale, while Aptos & Solana scale on Layer 1.  Move (Aptos) vs Solidity (Ethereum) vs Rust (Solana) → Move is designed for security."
Seer Tracker,@SeerTracker,2025-03-27T23:59:42.000Z,"West (ratwizardx) swapped 5,972,208.32 ($484.48) $solana → 3.5 SOL (50% sold) at 81.12K MC  PnL: +0.5 SOL (+8.42%) Holds: 5,972,208.32 solana (0.6%)  CA: 7u3B21JHwidERrQsxi9QYEFLptnYaYSYHGxi13Nspump Wallet: JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN"
SpyBall,@SpyBallCrypto,2025-03-27T23:59:41.000Z,"Finally, someone who sees the truth! Those pyramids didn't just appear from nowhere... The ancient tech transfer was real  Speaking of legacies, we're building our own on Solana   #solanamemecoin #memecoin"
JaimePaganTattoo,@Jaimepagantatt3,2025-03-27T23:59:37.000Z,New #PFP   I'm stepping my game up... and you should too.. #solana won't ever be the same thanks to  @playsolana  ... dodo you even $PLAY??
"sail⦿r.eth (Ø,G) (✸,✸)",@toprak272,2025-03-27T23:59:35.000Z,9m26PWFj6RZxaUPoKJxx5m5tVjm2DKkVQCgB79E458Ab (solana)  0xb5c58572cab0f0525565a9970e579bcc1d79a5ca (EVM)
aixtn,@ai_xtn,2025-03-27T23:59:32.000Z,"ratwizardx, a KOL with 25.1K followers, just bought $384.5 in $solana at $67.6K MC!  CA: 7u3B21JHwidERrQsxi9QYEFLptnYaYSYHGxi13Nspump Wallet: JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN"
